cpu_percent,mem_percent,time_stamp
27.6,58.1,2020-10-21 17:38:17.190801
0.0,58.7,2020-10-21 17:38:18.252060
0.0,58.1,2020-10-21 17:38:19.264191
0.0,58.1,2020-10-21 17:38:20.271822
0.0,58.2,2020-10-21 17:38:21.281918
0.0,58.3,2020-10-21 17:38:22.290865
0.0,58.2,2020-10-21 17:38:23.344631
0.0,59.7,2020-10-21 17:38:24.411459
0.0,60.8,2020-10-21 17:38:25.414341
0.0,61.3,2020-10-21 17:38:26.428676
0.0,58.8,2020-10-21 17:38:27.462411
90.1,58.1,2020-10-21 17:38:28.469236
100.0,62.0,2020-10-21 17:38:29.585406
52.3,62.0,2020-10-21 17:38:30.588483
0.0,57.7,2020-10-21 17:37:57.537181
0.0,57.8,2020-10-21 17:37:58.549230
0.0,57.8,2020-10-21 17:37:59.558621
0.0,57.8,2020-10-21 17:38:00.566202
29.4,57.8,2020-10-21 17:38:01.579898
0.0,57.9,2020-10-21 17:38:02.591432
12.5,58.0,2020-10-21 17:38:03.602312
9.4,57.9,2020-10-21 17:38:04.603651
0.0,57.9,2020-10-21 17:38:05.614261
24.2,58.1,2020-10-21 17:38:06.625594
0.0,57.9,2020-10-21 17:38:07.634308
15.6,57.8,2020-10-21 17:38:08.643284
0.0,57.9,2020-10-21 17:38:09.648407
48.5,57.8,2020-10-21 17:38:10.656069
0.0,57.8,2020-10-21 17:38:11.670141
0.0,57.8,2020-10-21 17:38:12.681338
33.3,57.9,2020-10-21 17:38:13.688272
30.3,58.1,2020-10-21 17:38:14.703221
0.0,58.1,2020-10-21 17:38:15.716106
0.0,58.1,2020-10-21 17:38:16.720638
65.6,58.3,2020-10-21 17:38:17.734059
36.4,59.1,2020-10-21 17:38:18.769108
0.0,58.1,2020-10-21 17:38:19.776923
22.2,58.2,2020-10-21 17:38:20.787085
25.0,58.2,2020-10-21 17:38:21.800985
90.3,58.2,2020-10-21 17:38:22.936230
95.5,58.8,2020-10-21 17:38:24.160406
0.0,60.7,2020-10-21 17:38:25.187507
100.0,61.3,2020-10-21 17:38:26.265073
0.0,58.8,2020-10-21 17:38:27.463410
100.0,58.5,2020-10-21 17:38:28.606243
100.0,62.3,2020-10-21 17:38:29.653407
0.0,62.0,2020-10-21 17:38:30.666489
0.0,61.5,2020-10-21 17:38:31.721001
28.6,57.3,2020-10-21 17:37:53.889107
25.0,57.5,2020-10-21 17:37:54.895363
55.0,57.7,2020-10-21 17:37:55.909561
5.0,57.6,2020-10-21 17:37:56.919790
20.0,57.7,2020-10-21 17:37:57.926486
12.5,57.7,2020-10-21 17:37:58.937069
15.0,57.8,2020-10-21 17:37:59.943719
9.5,57.9,2020-10-21 17:38:00.953990
25.0,57.8,2020-10-21 17:38:01.954523
25.0,57.9,2020-10-21 17:38:02.966729
0.0,57.9,2020-10-21 17:38:03.969873
12.5,57.9,2020-10-21 17:38:04.976558
0.0,58.0,2020-10-21 17:38:05.989797
44.4,57.7,2020-10-21 17:38:07.000351
25.0,57.7,2020-10-21 17:38:08.007065
33.3,57.7,2020-10-21 17:38:09.014421
37.5,57.8,2020-10-21 17:38:10.020070
12.5,57.8,2020-10-21 17:38:11.032485
75.0,57.8,2020-10-21 17:38:12.046415
33.3,57.9,2020-10-21 17:38:13.054480
25.0,57.9,2020-10-21 17:38:14.060734
12.5,58.2,2020-10-21 17:38:15.067761
25.0,58.2,2020-10-21 17:38:16.072250
25.0,58.2,2020-10-21 17:38:17.080949
100.0,58.3,2020-10-21 17:38:18.090058
50.0,58.1,2020-10-21 17:38:19.094202
25.0,58.1,2020-10-21 17:38:20.101038
0.0,58.1,2020-10-21 17:38:21.111535
0.0,58.2,2020-10-21 17:38:22.122997
